Mobile,150000
Anchorage,203000
Phoenix,455000
Tucson,477000
Springdale,566080
Anaheim,602000
Garden Grove,629000
Glendale,630000
Los Angeles,644000
Los Gatos,644112
Modesto,648354
Oakland,653000
Sacramento,664000
San Bernardino,665000
San Diego,666000
San Francisco,667000
San Jose,668000
Turlock,680812
Walnut Creek,683346
Colorado Springs,816000
Denver,820000
Greeley,832155
Lakewood,843000
Bridgeport,908000
Hartford,937000
New Haven,952000
Wilmington,1077580
Washington,1150000
Clearwater,1212875
Delray Beach,1217100
Doral,1217935
Jacksonville,1235000
Miami,1245000
Miami Springs,1245200
Naples,1247625
North Port,1249675
Orlando,1253000
Palm Springs,1254450
Pensacola,1255925
Riviera Beach,1260975
Tallahassee,1270600
Tampa,1271000
Atlanta,1304000
Decatur,1322052
Stone Mountain,1373816
Aurora,1703012
Chicago,1714000
Moline,1749867
Rockford,1765000
Wheaton,1781048
Fort Wayne,1825000
Indianapolis,1836003
Cedar Rapids,1912000
Des Moines,1921000
Garden City,2025325
Kansas City,2036000
Wichita,2079000
Bowling Green,2108902
Owensboro,2158620
Baton Rouge,2205000
Lafayette,2240735
Portland,2360545
Baltimore,2404000
Glen Burnie,2432650
Rockville,2467675
Silver Spring,2472450
Framingham,2524960
Lowell,2537000
Springfield,2567000
Worcester,2582000
Ann Arbor,2603000
Battle Creek,2605920
Dearborn,2621000
Grand Rapids,2634000
Lansing,2646000
Troy,2680700
Minneapolis,2743000
Richfield,2754214
Rochester,2754880
St. Cloud,2756896
St. Paul,2758000
Biloxi,2806220
Jackson,2836000
Columbia,2915670
St. Louis,2965000
Missoula,3050200
Lincoln,3128000
Omaha,3137000
Concord,3314200
Manchester,3345140
Camden,3410000
East Orange,3419390
Elizabeth,3421000
Jersey City,3436000
Albuquerque,3502000
Albany,3601000
Amityville,3602044
Binghamton,3606607
Buffalo,3611000
New York,3651000
Syracuse,3673000
Charlotte,3712000
Durham,3719000
Greensboro,3728000
High Point,3731400
New Bern,3746340
Raleigh,3755000
Bismarck,3807200
Fargo,3825700
Grand Forks,3832060
Akron,3901000
Cincinnati,3915000
Cleveland,3916000
Cleveland Heights,3916014
Columbus,3918000
Dayton,3921000
Toledo,3977000
Oklahoma City,4055000
Tulsa,4075000
Allentown,4202000
Erie,4224000
Harrisburg,4232800
Lancaster,4241216
Philadelphia,4260000
Pittsburgh,4261000
Scranton,4269000
Providence,4459000
Spartanburg,4568290
Huron,4631060
Sioux Falls,4659020
Chattanooga,4714000
Knoxville,4740000
Memphis,4748000
Abilene,4801000
Amarillo,4803000
Austin,4805000
Dallas,4819000
Fort Worth,4827000
Houston,4835000
San Antonio,4865000
Salt Lake City,4967000
Arlington,5103000
Charlottesville,5114968
Falls Church,5127200
Fredericksburg,5129744
Harrisonburg,5135624
Newport News,5156000
Richmond,5167000
Roanoke,5168000
Kent,5335415
Richland,5358235
Seattle,5363000
Spokane,5367000
Tacoma,5370000
Vancouver,5374060
Charleston,5414600
Green Bay,5531000
Madison,5548000
Milwaukee,5553000
Oshkosh,5560500
Sheboygan,5572975
